Tag,Value
jazz,0.319
instrumental,0.156
Hip-Hop,0.143
folk,0.102
rock,0.093
guitar,0.082
acoustic,0.063
experimental,0.062
ambient,0.060
electronic,0.055
Progressive rock,0.052
blues,0.044
80s,0.036
funk,0.031
alternative,0.030
classic rock,0.025
metal,0.024
chill,0.023
indie,0.022
Mellow,0.022
chillout,0.022
electronica,0.022
70s,0.015
soul,0.013
beautiful,0.012
90s,0.011
pop,0.011
alternative rock,0.011
country,0.011
hard rock,0.010
electro,0.010
easy listening,0.009
female vocalists,0.008
sad,0.008
heavy metal,0.007
male vocalists,0.006
00s,0.006
dance,0.006
punk,0.006
indie rock,0.005
rnb,0.004
House,0.002
party,0.002
60s,0.002
oldies,0.002
indie pop,0.002
sexy,0.002
female vocalist,0.002
happy,0.001
catchy,0.001
